"Date","Currency","Buying","Selling"
"05 Aug 2024","NEW TAIWAN DOLLAR","4.74979","4.80326"
"05 Aug 2024","NEW ZEALAND DOLLAR","93.13264","94.18094"
"05 Aug 2024","NICARAGUA CORDOBA","4.25914","4.30708"
"05 Aug 2024","NIGERIAN NAIRA","0.09689","0.09798"
"05 Aug 2024","NORTHERN IRELAND POUND","216.33976","218.77488"
"05 Aug 2024","NORWEGIAN KRONE","14.23670","14.39695"
"05 Aug 2024","OMANI RIAL","405.16364","409.72416"
"05 Aug 2024","PACFIQUE FRANC","1.42777","1.44384"
"05 Aug 2024","PAKISTAN RUPEE","0.56010","0.56641"
"05 Aug 2024","PANAMA BALBOA","155.98800","157.74380"
"05 Aug 2024","PAPUA NEW GUINEA KINA","40.25289","40.70598"
"05 Aug 2024","PARAGUAY GUARANO","0.02057","0.02080"
"05 Aug 2024","PERU NUEVO SOL","41.58238","42.05044"
"05 Aug 2024","PHILIPPINE PESO","2.68482","2.71504"
"05 Aug 2024","POLISH ZLOTY","39.69413","40.14092"
"05 Aug 2024","PORTUGESE ESCUDO","0.84984","0.85941"
"05 Aug 2024","QATAR RIYAL","42.84208","43.32431"
"05 Aug 2024","ROMANIAN LEU","34.24131","34.62673"
"05 Aug 2024","RUSSIAN RUBLE","1.82549","1.84604"
"05 Aug 2024","RWANDA FRANC","0.11876","0.12009"
"05 Aug 2024","SAMOA TALA","56.29607","56.92974"
"05 Aug 2024","SAUDI RIYAL","41.56355","42.03139"
"05 Aug 2024","SERBIA DINAR","1.45599","1.47238"
"05 Aug 2024","SEYCHELLES RUPEE","10.60220","10.72153"
"05 Aug 2024","SINGAPORE DOLLAR","117.75345","119.07889"
"05 Aug 2024","SLOVAKIAN KORUNA","5.65551","5.71917"
"05 Aug 2024","SOLOMON ISLANDS DOLLAR","18.34419","18.55067"
"05 Aug 2024","SOLVENIAN TOLAR","0.71097","0.71898"
"05 Aug 2024","SOUTH AFRICA RAND","8.55608","8.65239"
"05 Aug 2024","SOUTH KOREAN WON","0.11379","0.11507"
"05 Aug 2024","SPANISH PESATA","1.02399","1.03552"
"05 Aug 2024","SRI LANKA RUPEE","0.51660","0.52242"
"05 Aug 2024","SURINAME DOLLAR","5.43512","5.49630"
"05 Aug 2024","SWAZILAND LILANGENI","8.55608","8.65239"
"05 Aug 2024","SWEDISH KRONA","14.75517","14.92126"
"05 Aug 2024","SWISS FRANC","181.55028","183.59381"
"05 Aug 2024","T&T DOLLAR","23.18059","23.44151"
"05 Aug 2024","TANZANIA SHILLING","0.05788","0.05853"
"05 Aug 2024","THAILAND BAHT","4.41174","4.46140"
"05 Aug 2024","THAILAND BHAT OFFSHORE","4.42865","4.47850"
"05 Aug 2024","TONGA PA'ANGA","65.40577","66.14198"
"05 Aug 2024","TUNISIA DINAR","50.74596","51.31715"
"05 Aug 2024","TURKISH LIRA","4.69455","4.74739"
"05 Aug 2024","U.S. DOLLAR","155.98800","157.74380"
"05 Aug 2024","UAE DIRHAM","42.46883","42.94686"
"05 Aug 2024","UGANDAN SHILLING","0.04190","0.04237"
"05 Aug 2024","UKRAINE HRYVNIA","3.78153","3.82409"
"05 Aug 2024","URUGUAY PESO","3.86396","3.90745"
"05 Aug 2024","UZBEKISTAN SOM","0.01240","0.01254"
"05 Aug 2024","VANUATU VATU","1.29974","1.31437"
"05 Aug 2024","VENEZUELAN BOLIVAR FUERTE","4.26237","4.31035"
"05 Aug 2024","VIETNAMESE DONG","0.00619","0.00626"
"05 Aug 2024","YEMEN RIAL","0.62317","0.63018"
"05 Aug 2024","ZAMBIA KWACHA","6.02647","6.09431"
"05 Aug 2024","ZIMBABWE DOLLAR","11.32490","11.45237"
