HS Code,ID,Rate
0103921000,EXC023,-
0103921000,SCTA08,-
0103921000,SCTS18,-
0103921000,SCTF028,-
0103921000,SCF90,-
0103921000,ENVL20,0.50%
0103929000,ID-01,40.00%
0103929000,ASD05,-
0103929000,GCT 06,15%
0103929000,EXC023,-
0103929000,SCTA08,-
0103929000,SCTS18,-
0103929000,SCTF028,-
0103929000,SCF90,-
0103929000,ENVL20,0.50%
0104101000,ID-01,0.00%
0104101000,ASD05,-
0104101000,GCT 06,15%
0104101000,EXC023,-
0104101000,SCTA08,-
0104101000,SCTS18,-
0104101000,SCTF028,-
0104101000,SCF90,-
0104101000,ENVL20,0.50%
0104102000,ID-01,40.00%
0104102000,ASD05,-
0104102000,GCT 06,15%
0104102000,EXC023,-
0104102000,SCTA08,-
0104102000,SCTS18,-
0104102000,SCTF028,-
0104102000,SCF90,-
0104102000,ENVL20,0.50%
0104109000,ID-01,40.00%
0104109000,ASD05,-
0104109000,GCT 06,15%
0104109000,EXC023,-
0104109000,SCTA08,-
0104109000,SCTS18,-
0104109000,SCTF028,-
0104109000,SCF90,-
0104109000,ENVL20,0.50%
0104201000,ID-01,0.00%
0104201000,ASD05,-
0104201000,GCT 06,15%
0104201000,EXC023,-
0104201000,SCTA08,-
0104201000,SCTS18,-
0104201000,SCTF028,-
0104201000,SCF90,-
0104201000,ENVL20,0.50%
0104202000,ID-01,40.00%
0104202000,ASD05,-
0104202000,GCT 06,15%
0104202000,EXC023,-
0104202000,SCTA08,-
0104202000,SCTS18,-
0104202000,SCTF028,-
0104202000,SCF90,-
0104202000,ENVL20,0.50%
0104209000,ID-01,40.00%
0104209000,ASD05,-
0104209000,GCT 06,15%
0104209000,EXC023,-
0104209000,SCTA08,-
0104209000,SCTS18,-
0104209000,SCTF028,-
0104209000,SCF90,-
0104209000,ENVL20,0.50%
0105111000,ID-01,0.00%
0105111000,ASD05,-
0105111000,GCT 06,15%
0105111000,EXC023,-
0105111000,SCTA08,-
0105111000,SCTS18,-
0105111000,SCTF028,-
0105111000,SCF90,-
0105111000,ENVL20,0.50%
0105112000,ID-01,40.00%
0105112000,ASD05,-
0105112000,GCT 06,15%
0105112000,EXC023,-
0105112000,SCTA08,-
0105112000,SCTS18,-
0105112000,SCTF028,-
0105112000,SCF90,-
0105112000,ENVL20,0.50%
0105119000,ID-01,40.00%
0105119000,ASD05,-
0105119000,GCT 06,15%
0105119000,EXC023,-
0105119000,SCTA08,-
0105119000,SCTS18,-
0105119000,SCTF028,-
0105119000,SCF90,-
0105119000,ENVL20,0.50%
0105121000,ID-01,0.00%
0105121000,ASD05,-
0105121000,GCT 06,15%
0105121000,EXC023,-
0105121000,SCTA08,-
0105121000,SCTS18,-
0105121000,SCTF028,-
0105121000,SCF90,-
0105121000,ENVL20,0.50%
0105122000,ID-01,40.00%
0105122000,ASD05,-
0105122000,GCT 06,15%
0105122000,EXC023,-
0105122000,SCTA08,-
0105122000,SCTS18,-
0105122000,SCTF028,-
0105122000,SCF90,-
0105122000,ENVL20,0.50%
0105129000,ID-01,40.00%
0105129000,ASD05,-
0105129000,GCT 06,15%
0105129000,EXC023,-
0105129000,SCTA08,-
0105129000,SCTS18,-
0105129000,SCTF028,-
0105129000,SCF90,-
0105129000,ENVL20,0.50%
0105131000,ID-01,0.00%
0105131000,ASD05,-
0105131000,GCT 06,15%
0105131000,EXC023,-
0105131000,SCTA08,-
0105131000,SCTS18,-
0105131000,SCTF028,-
0105131000,SCF90,-
0105131000,ENVL20,0.50%
0105132000,ID-01,40.00%
0105132000,ASD05,-
0105132000,GCT 06,15%
0105132000,EXC023,-
0105132000,SCTA08,-
0105132000,SCTS18,-
0105132000,SCTF028,-
0105132000,SCF90,-
0105132000,ENVL20,0.50%
0105139000,ID-01,40.00%
0105139000,ASD05,-
0105139000,GCT 06,15%
0105139000,EXC023,-
0105139000,SCTA08,-
0105139000,SCTS18,-
0105139000,SCTF028,-
0105139000,SCF90,-
0105139000,ENVL20,0.50%
0105141000,ID-01,0.00%
0105141000,ASD05,-
0105141000,GCT 06,15%
0105141000,EXC023,-
0105141000,SCTA08,-
0105141000,SCTS18,-
0105141000,SCTF028,-
0105141000,SCF90,-
0105141000,ENVL20,0.50%
0105142000,ID-01,40.00%
0105142000,ASD05,-
0105142000,GCT 06,15%
0105142000,EXC023,-
0105142000,SCTA08,-
0105142000,SCTS18,-
0105142000,SCTF028,-
0105142000,SCF90,-
0105142000,ENVL20,0.50%
0105149000,ID-01,40.00%
0105149000,ASD05,-
0105149000,GCT 06,15%
0105149000,EXC023,-
0105149000,SCTA08,-
0105149000,SCTS18,-
0105149000,SCTF028,-
0105149000,SCF90,-
0105149000,ENVL20,0.50%
0105151000,ID-01,0.00%
0105151000,ASD05,-
0105151000,GCT 06,15%
0105151000,EXC023,-
0105151000,SCTA08,-
0105151000,SCTS18,-
0105151000,SCTF028,-
0105151000,SCF90,-
0105151000,ENVL20,0.50%
0105152000,ID-01,40.00%
0105152000,ASD05,-
0105152000,GCT 06,15%
0105152000,EXC023,-
0105152000,SCTA08,-
0105152000,SCTS18,-
0105152000,SCTF028,-
0105152000,SCF90,-
0105152000,ENVL20,0.50%
0105159000,ID-01,40.00%
0105159000,ASD05,-
0105159000,GCT 06,15%
0105159000,EXC023,-
0105159000,SCTA08,-
0105159000,SCTS18,-
0105159000,SCTF028,-
0105159000,SCF90,-
0105159000,ENVL20,0.50%
0105941000,ID-01,0.00%
0105941000,ASD05,-
0105941000,GCT 06,15%
0105941000,EXC023,-
0105941000,SCTA08,-
0105941000,SCTS18,-
0105941000,SCTF028,-
0105941000,SCF90,-
0105941000,ENVL20,0.50%
0105942000,ID-01,40.00%
0105942000,ASD05,-
0105942000,GCT 06,15%
0105942000,EXC023,-
0105942000,SCTA08,-
0105942000,SCTS18,-
0105942000,SCTF028,-
0105942000,SCF90,-
0105942000,ENVL20,0.50%
0105943000,ID-01,0.00%
0105943000,ASD05,-
0105943000,GCT 06,15%
0105943000,EXC023,-
0105943000,SCTA08,-
0105943000,SCTS18,-
0105943000,SCTF028,-
0105943000,SCF90,-
0105943000,ENVL20,0.50%
0105944000,ID-01,40.00%
0105944000,ASD05,-
0105944000,GCT 06,15%
0105944000,EXC023,-
0105944000,SCTA08,-
0105944000,SCTS18,-
0105944000,SCTF028,-
0105944000,SCF90,-
0105944000,ENVL20,0.50%
0105949000,ID-01,40.00%
0105949000,ASD05,-
0105949000,GCT 06,15%
0105949000,EXC023,-
0105949000,SCTA08,-
0105949000,SCTS18,-
0105949000,SCTF028,-
0105949000,SCF90,-
0105949000,ENVL20,0.50%
0105991000,ID-01,0.00%
0105991000,ASD05,-
0105991000,GCT 06,15%
0105991000,EXC023,-
0105991000,SCTA08,-
0105991000,SCTS18,-
0105991000,SCTF028,-
0105991000,SCF90,-
0105991000,ENVL20,0.50%
0105992000,ID-01,40.00%
0105992000,ASD05,-
0105992000,GCT 06,15%
0105992000,EXC023,-
0105992000,SCTA08,-
0105992000,SCTS18,-
0105992000,SCTF028,-
0105992000,SCF90,-
0105992000,ENVL20,0.50%
0105999000,ID-01,40.00%
0105999000,ASD05,-
0105999000,GCT 06,15%
0105999000,EXC023,-
0105999000,SCTA08,-
0105999000,SCTS18,-
0105999000,SCTF028,-
0105999000,SCF90,-
0105999000,ENVL20,0.50%
0106111000,ID-01,40.00%
0106111000,ASD05,-
0106111000,GCT 06,15%
0106111000,EXC023,-
0106111000,SCTA08,-
0106111000,SCTS18,-
0106111000,SCTF028,-
0106111000,SCF90,-
0106111000,ENVL20,0.50%
0106119000,ID-01,40.00%
0106119000,ASD05,-
0106119000,GCT 06,15%
0106119000,EXC023,-
0106119000,SCTA08,-
0106119000,SCTS18,-
0106119000,SCTF028,-
0106119000,SCF90,-
0106119000,ENVL20,0.50%
0106120010,ID-01,40.00%
0106120010,ASD05,-
0106120010,GCT 06,15%
0106120010,EXC023,-
0106120010,SCTA08,-
0106120010,SCTS18,-
0106120010,SCTF028,-
0106120010,SCF90,-
0106120010,ENVL20,0.50%
0106120090,ID-01,40.00%
0106120090,ASD05,-
0106120090,GCT 06,15%
0106120090,EXC023,-
0106120090,SCTA08,-
0106120090,SCTS18,-
0106120090,SCTF028,-
0106120090,SCF90,-
0106120090,ENVL20,0.50%
0106130000,ID-01,40.00%
0106130000,ASD05,-
0106130000,GCT 06,15%
0106130000,EXC023,-
0106130000,SCTA08,-
0106130000,SCTS18,-
0106130000,SCTF028,-
0106130000,SCF90,-
